298	30.9
299	30
300	30
301	30
302	30
303	30
304	30
305	30
306	30
307	59.7
308	30
309	30
310	404.4
311	30
312	30
313	44.7
314	213.5
315	33.7
316	276.6
317	32.7
318	31.9
319	30
320	30
321	72.3
322	30
323	40.5
324	30
325	32.6
326	30
327	34.0
328	30
329	30
330	30
331	76.7
332	30.9
333	30
334	30
335	30
336	30
337	30
338	30
339	30
340	160.5
341	30
342	30
343	36.9
344	30
345	30
346	30
347	30
348	30
349	955.6
350	30
351	30
352	30
353	30
354	30
355	30
356	30
357	30
358	30
359	34.1
360	30
361	30
362	30
363	53.8
364	30
365	30
366	31.7
367	30
368	30
369	30
370	33.3
371	30
372	30
373	30
374	30
375	30
376	30
377	30
378	30
379	30
380	30
381	52.6
382	30
383	30
384	34.0
385	30
386	271.9
387	30
388	30
389	30
390	30
391	32.3
392	45.1
393	30
394	30
395	30
396	30
397	30
398	30
399	30
400	30
401	30
402	38.0
403	30
404	31.7
405	30
406	30
407	30
408	30
409	30
410	30
411	67.1
412	30
413	30
414	30
415	30
416	30
417	30
418	30
419	30
420	30
421	30
422	30
423	30
424	30
425	40.6
426	30
427	30
428	32.9
429	30
430	35.5
431	30
432	30
433	30
434	30.9
435	40.4
436	55.3
437	30
438	30
439	38.4
440	30
441	30
442	35.4
443	30
444	30
445	185.2
446	60.8
447	30
448	30
449	30
450	30
451	30
452	30
453	30
454	42.9
455	30
456	30
457	30
458	44.0
459	30
460	30
461	30
462	33.3
463	30
464	30
465	35.8
466	67.9
467	111.5
468	38.6
469	30
470	30
471	30
472	37.8
473	30
474	46.0
475	30
476	30
477	39.8
478	30
479	30
480	30
481	30
482	30
483	30
484	30
485	30
486	30
487	30
488	30
489	30
490	30
491	30
492	30
493	76.6
494	30
495	30
496	30
497	30
498	30
499	30
500	30
501	30
502	55.6
503	30
504	30
505	30
506	30
507	30
508	35.2
509	30
510	30
511	30
512	30
513	30
514	35.9
515	30
516	30
517	30
518	30
519	30
520	33.2
521	30
522	30
523	30
524	30
525	30
526	30
527	30
528	30
529	30
530	30
531	30
532	49.5
533	30
534	30
535	30
536	30
537	30
538	30
539	30
540	30
541	53.4
542	30
543	30
544	30
545	30
546	30
547	30
548	30
549	30
550	37.0
551	30
552	30
553	30
554	30
555	30
556	30
557	30
558	30
559	30
560	30
561	30
562	30
563	30
564	30
565	62.6
566	30
567	30
568	30
569	30
570	45.0
571	44.1
572	30
573	30
574	30
575	30
576	59.1
577	30
578	30
579	30
580	30
581	30
582	30
583	30
584	30
585	30
586	30
587	30
588	30
589	30
590	30
591	30
592	30
593	30
594	30
595	43.0
596	30
597	30
598	30
599	30
600	52.5
601	30
602	35.2
603	43.6
604	28.0
605	30
606	45.2
607	30
608	30
609	30
610	30
611	30
612	838.3
613	30
614	30
615	30
616	30
617	30
618	30
619	30
620	30
621	30
622	30
623	30
624	30
625	30
626	30
627	30
628	30
629	37.2
630	30
631	30
632	92.7
633	31.8
634	30
635	51.9
636	30
637	30
638	30
639	30
640	30
641	30
642	30
643	30
644	34.0
645	30
646	30
647	30
648	30
649	30
650	34.6
651	32.5
652	30
653	30
654	30
655	99.3
656	30
657	30
658	30
659	30
660	62.4
661	30
662	30
663	30
664	30
665	30
666	43.6
667	30
668	30
669	30
670	30
671	30
672	30
673	71.4
674	30
675	56.8
676	30
677	30
678	49.6
679	54.9
680	30
681	30
682	30
683	30
684	30
685	30
686	30
687	30
688	30
689	30
690	30
691	30
692	30
693	88.8
694	30
695	36.1
696	30
697	30
698	30
699	30
700	30
701	30
702	30
703	30
704	30
705	53.1
706	30
707	30
708	30
709	30
710	30
711	30
712	30
713	30
714	30
715	30
716	30
717	30
718	109.0
719	30
720	32.1
721	30
722	30
723	33.4
724	30
725	30
726	30
727	30
728	30
729	30
730	30
731	30
732	42.9
733	30
734	40.7
735	30
736	30
737	30
738	30
739	30
740	35.5
741	30
742	40.7
743	30
744	30
745	64.0
746	30
747	40.9
748	30
749	30
750	40.5
751	30
752	30
753	36.5
754	33.9
755	30
756	30
757	55.2
758	30
759	30
760	30
761	30
762	51.4
763	30
764	30
765	30
766	30
767	30
768	30
769	30
770	30
771	30
772	45.8
773	56.3
774	30
775	30
776	30
777	30
778	30
779	30
780	30.7
781	30
782	30
783	30
784	447.9
785	30
786	31.4
787	30
788	30
789	36.8
790	55.8
791	47.3
792	48.3
793	30
794	30
795	30
796	30
797	30
798	30
799	40.4
800	76.6
801	30
802	30
803	30
804	30
805	30
806	30
807	30
808	30
809	35.7
810	45.4
811	30
812	35.6
813	42.5
814	30.5
815	30
816	30
817	30
818	30
819	30
820	30
821	30
822	30
823	30
824	435.5
825	30
826	30
827	30
828	30
829	30
830	35.2
831	30
832	30
833	30
834	30
835	76.7
836	30
837	35.0
838	30
839	30
840	30
841	30
842	30
843	30
844	30
845	30
846	30
847	30
848	30
849	32.5
850	30
851	30
852	30
853	53.5
854	30
855	30
856	30
857	30
858	38.1
859	30
860	30
861	30
862	30
863	30
864	30
865	30
866	32.8
867	30
868	34.6
869	30
870	30
871	30
872	35.8
873	30
874	30
875	30
876	30
877	30
878	30
879	45.5
880	40.9
881	30
882	30
883	30
884	30
885	30
886	30
887	30
888	30
